Year,Rank,Player
1970,1,Gerd Müller
1970,2,Bobby Moore
1970,3,Gigi Riva
1970,4,Franz Beckenbauer
1970,5,Wolfgang Overath
1970,6,Dragan Dzajic
1970,7,Johan Cryuff
1970,8,Gordon Banks
1970,8,Sandro Mazzola
1970,10,Rinus Israel
1970,11,Gianni Rivera
1970,12,Uwe Seeler
1970,13,Albert Shesternyov
1970,14,Angelo Domenghini
1970,15,Ove Kindvall
1971,1,Johan Cruyff
1971,2,Sandro Mazzola
1971,3,George Best
1971,4,Günter Netzer
1971,5,Franz Beckenbauer
1971,6,Gerd Müller
1971,6,Josip Skoblar
1971,8,Martin Chivers
1971,9,Piet Keizer
1971,10,Bobby Moore
1971,10,Ferenc Bene
1971,12,Yevhen Rudakov
1971,13,Giacinto Facchetti
1971,13,Mimis Domazos
1971,13,Pirri
1972,1,Franz Beckenbauer
1972,2,Gerd Müller
1972,3,Günter Netzer
1972,4,Johan Cruyff
1972,5,Piet Keizer
1972,6,Kazimierz Deyna
1972,7,Gordon Banks
1972,8,Barry Hulshoff
1972,9,Włodzimierz Lubański
1972,10,Bobby Moore
1972,11,Hristo Bonev
1972,12,Murtaz Khurtsilava
1972,13,Gerrie Mühren
1972,14,Paul Van Himst
1972,15,Antal Dunai
1973,1,Johan Cruyff
1973,2,Dino Zoff
1973,3,Gerd Müller
1973,4,Franz Beckenbauer
1973,5,Billy Bremner
1973,6,Kazimierz Deyna
1973,7,Eusébio
1973,8,Gianni Rivera
1973,9,Ralf Edström
1973,10,Günter Netzer
1973,11,Ulrich Hoeneß
1973,12,Hristo Bonev
1973,13,Giacinto Facchetti
1973,14,Juan Manuel Asensi
1973,15,Sandro Mazzola
1974,1,Johan Cruyff
1974,2,Franz Beckenbauer
1974,3,Kazimierz Deyna
1974,4,Paul Breitner
1974,5,Johan Neeskens
1974,6,Grzegorz Lato
1974,7,Gerd Müller
1974,8,Robert Gadocha
1974,9,Billy Bremner
1974,10,Ralf Edström
1974,11,Jürgen Sparwasser
1974,12,Berti Vogts
1974,13,Ronnie Hellström
1974,14,Jan Tomaszewski
1974,15,José Altafini
1975,1,Oleg Blokhin
1975,2,Franz Beckenbauer
1975,3,Johan Cruyff
1975,4,Berti Vogts
1975,5,Sepp Maier
1975,6,Ruud Geels
1975,7,Jupp Heynckes
1975,8,Paul Breitner
1975,9,Colin Todd
1975,10,Dudu Georgescu
1975,11,Peter Lorimer
1975,12,Branko Oblak
1975,13,Pirri
1975,14,Ralf Edström
1975,15,Günter Netzer
1976,1,Franz Beckenbauer
1976,2,Rob Rensenbrink
1976,3,Ivo Viktor
1976,4,Kevin Keegan
1976,5,Michel Platini
1976,6,Anton Ondruš
1976,7,Johan Cruyff
1976,8,Ivan Ćurković
1976,9,Rainer Bonhof
1976,10,Gerd Müller
1976,11,Marián Masný
1976,12,Franco Causio
1976,13,Berti Vogts
1976,14,Tibor Nyilasi
1976,15,Roberto Bettega
1977,1,Allan Simonsen
1977,2,Kevin Keegan
1977,3,Michel Platini
1977,4,Roberto Bettega
1977,5,Johan Cruyff
1977,6,Klaus Fischer
1977,7,Tibor Nyilasi
1977,8,Rob Rensenbrink
1977,9,Dudu Georgescu
1977,10,Emlyn Hughes
1977,11,Steve Heighway
1977,12,Berti Vogts
1977,13,Dominique Bathenay
1977,14,Trevor Brooking
1977,15,Anders Linderoth
1978,1,Kevin Keegan
1978,2,Hans Krankl
1978,3,Rob Rensenbrink
1978,4,Roberto Bettega
1978,5,Paolo Rossi
1978,6,Ronnie Hellström
1978,7,Ruud Krol
1978,8,Kenny Dalglish
1978,9,Allan Simonsen
1978,10,Peter Shilton
1978,11,Arie Haan
1978,12,René van de Kerkhof
1978,13,Antonio Cabrini
1978,14,Willy van de Kerkhof
1978,15,Johan Cruyff
1979,1,Kevin Keegan
1979,2,Karl-Heinz Rummenigge
1979,3,Ruud Krol
1979,4,Manfred Kaltz
1979,5,Michel Platini
1979,6,Paolo Rossi
1979,7,Trevor Francis
1979,8,Liam Brady
1979,9,Zbigniew Boniek
1979,10,Zdeněk Nehoda
1979,11,Kenny Dalglish
1979,12,Allan Simonsen
1979,13,Paul Breitner
1979,14,Kees Kist
1979,15,Johnny Rep
1980,1,Karl-Heinz Rummenigge
1980,2,Bernd Schuster
1980,3,Michel Platini
1980,4,Wilfried Van Moer
1980,5,Jan Ceulemans
1980,6,Horst Hrubesch
1980,7,Herbert Prohaska
1980,8,Hansi Müller
1980,9,Liam Brady
1980,10,Manfred Kaltz
1980,11,Erwin Vandenbergh
1980,12,Luis Arconada
1980,13,Dino Zoff
1980,14,Kenny Dalglish
1980,15,Bruno Pezzey
1981,1,Karl-Heinz Rummenigge
1981,2,Paul Breitner
1981,3,Bernd Schuster
1981,4,Michel Platini
1981,5,Oleg Blokhin
1981,6,Dino Zoff
1981,7,Ramaz Shengelia
1981,8,Alexsandr Chivadze
1981,9,Liam Brady
1981,10,John Wark
1981,11,David Kipiani
